Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.652
CatBoost Classifier,0.999,1.0,0.999,0.999,0.999,0.9985,0.9985,5.288
Extreme Gradient Boosting,0.9938,0.9998,0.9938,0.9938,0.9938,0.9906,0.9907,0.87
Light Gradient Boosting Machine,0.9933,0.9998,0.9933,0.9933,0.9933,0.9899,0.9899,0.886
Gradient Boosting Classifier,0.9683,0.0,0.9683,0.9683,0.9682,0.9524,0.9525,4.178
Extra Trees Classifier,0.9673,0.9975,0.9673,0.9673,0.9673,0.9509,0.9509,1.028
Decision Tree Classifier,0.9632,0.9725,0.9632,0.9632,0.9632,0.9447,0.9447,0.336
Random Forest Classifier,0.9601,0.9966,0.9601,0.9601,0.96,0.9401,0.9401,0.82
Linear Discriminant Analysis,0.9558,0.0,0.9558,0.9572,0.9561,0.9337,0.9341,0.402
SVM - Linear Kernel,0.9133,0.0,0.9133,0.9228,0.9124,0.8699,0.8751,0.984
Naive Bayes,0.8773,0.9715,0.8773,0.8803,0.8784,0.816,0.8164,0.322
Quadratic Discriminant Analysis,0.8812,0.0,0.8812,0.8997,0.8701,0.8208,0.8351,0.34
Ada Boost Classifier,0.8636,0.0,0.8636,0.8937,0.8674,0.796,0.8076,0.832
K Neighbors Classifier,0.6133,0.7834,0.6133,0.6191,0.6139,0.4202,0.4216,1.008
Ridge Classifier,0.6975,0.0,0.6975,0.7905,0.5872,0.5409,0.6088,0.32
Dummy Classifier,0.3512,0.5,0.3512,0.1234,0.1826,0.0,0.0,0.284
