temporada,anio,segmento,Tipo_viajero,duracion_dias,mes_inicio,es_evento_ciudad,es_semana_santa,es_navidad,es_puente,personas
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
